"time","air.T","air.RH","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[1]","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","soil.heatCapacitor5.T","climateController.heater_power","weatherFromFile.weather.air_temp"
1.54494e+06,288.1511181626411,0.2453277733294862,0,0,286.1256297479451,284.4790145073666,283.0432060077566,281.6084407972668,280.1022760695681,96.53556270658287,272.8951498059922
1.54518e+06,288.1511188251461,0.2454860048075375,0,0,286.1217985317704,284.4795427770611,283.0432104614158,281.6082548109183,280.1021805251285,96.42006181610441,272.9151506060242
1.54542e+06,288.1511194878037,0.2456444159669975,0,0,286.1179705276255,284.4800689447629,283.0432150396258,281.6080689492192,280.1020850100131,96.30465780154096,272.9351514060562
1.54566e+06,288.1511201540878,0.2458070924737398,0,0,286.1142187665923,284.4805452180141,283.0432225742653,281.6078860462908,280.1019901909573,96.18874666710259,272.9551522060882
1.5459e+06,288.1511208203719,0.2459697689669909,0,0,286.1104670055591,284.4810214912653,283.0432301089047,281.6077031433624,280.1018953719015,96.07296021051943,272.9751530061202
1.54614e+06,288.1511214866561,0.246132445446751,0,0,286.106715244526,284.4814977645165,283.0432376435441,281.607520240434,280.1018005528457,95.95729833337558,272.9951538061522
1.54638e+06,288.1511221529402,0.2462951219130201,0,0,286.1029634834928,284.4819740377677,283.0432451781836,281.6073373375057,280.1017057337899,95.84176093724584,273.0151546061842
1.54662e+06,288.1511228229357,0.2464614648631071,0,0,286.0992755659107,284.4824091488371,283.0432547755171,281.6071569467679,280.1016115220621,95.72570538361668,273.0351554062162
1.54686e+06,288.1511234937283,0.2466285952878481,0,0,286.0956013605949,284.4828354191125,283.0432648158751,281.6069770955973,280.101517440776,95.60963765132563,273.0551562062482
1.5471e+06,288.151124164521,0.2467957256986348,0,0,286.0919271552791,284.4832616893878,283.0432748562332,281.6067972444267,280.1014233594898,95.49369578982592,273.0751570062802
1.54734e+06,288.1511248353137,0.2469628560954665,0,0,286.0882529499632,284.4836879596632,283.0432848965912,281.606617393256,280.1013292782037,95.37787968883616,273.0951578063122
1.54758e+06,288.1511255079447,0.2471313410351084,0,0,286.0846019594825,284.4840993766196,283.0432956115395,281.6064384615152,280.1012354222695,95.26187237914712,273.1151586063442
1.54782e+06,288.1511261817712,0.2473007067803397,0,0,286.0809660647776,284.4845011349947,283.0433067651495,281.6062601276466,280.1011417128736,95.14578548351344,273.1351594063762
1.548e+06,288.1511266650557,0.2474264353171897,0,0,286.0782693641995,284.4847985084275,283.0433150739221,281.6061278491643,280.101072191579,95.06260315152748,273.15
1.548e+06,288.1511266650557,0.2474264353171897,0,0,286.0782693641995,284.4847985084275,283.0433150739221,281.6061278491643,280.101072191579,95.06260315152748,273.1500000215022
1.54806e+06,288.1511269871464,0.2474702284240706,0,0,286.0773332853004,284.4849009258666,283.0433180067931,281.6060819158125,280.1010480334463,95.00720144158953,273.1586003440137
1.5483e+06,288.15112817277,0.2476406796008791,0,0,286.0737231610113,284.4852869854261,283.043329837809,281.605904560423,280.1009545654617,94.80351534403408,273.1919350107337
1.54854e+06,288.1511293610572,0.2478120955882444,0,0,286.0701374775446,284.4856583965591,283.0433422441044,281.6057281286822,280.1008613279684,94.59976398906234,273.2252696774538
1.54878e+06,288.151130553086,0.2479848604210537,0,0,286.0665856496345,284.4860096576523,283.0433553624673,281.6055529820765,280.1007684148993,94.39576517427672,273.2586043441738
1.54902e+06,288.1511317453799,0.2481577201162884,0,0,286.0630361511491,284.4863595556394,283.0433685160781,281.6053779246786,280.1006755250025,94.19211526561189,273.2919390108937
1.54926e+06,288.1511329461981,0.2483336306438872,0,0,286.0595615487543,284.486665626786,283.0433828029908,281.6052057355111,280.1005833801466,93.98740735146043,273.3252736776138
1.5495e+06,288.1511341470163,0.2485095411451928,0,0,286.0560869463596,284.4869716979325,283.0433970899034,281.6050335463436,280.1004912352907,93.78309826738895,273.3586083443337
1.54974e+06,288.1511353478344,0.2486854516202054,0,0,286.0526123439648,284.487277769079,283.0434113768161,281.604861357176,280.1003990904349,93.57918743646975,273.3919430110537
1.54998e+06,288.1511365486526,0.2488613620689253,0,0,286.0491377415701,284.4875838402255,283.0434256637288,281.6046891680085,280.100306945579,93.37567428172994,273.4252776777737
1.55022e+06,288.151137755949,0.2490385394104461,0,0,286.0456937855165,284.4878721346544,283.0434403236429,281.6045181571215,280.1002151112239,93.17146353384808,273.4586123444938
1.55046e+06,288.1511389648336,0.2492160273372245,0,0,286.0422573430595,284.4881560707461,283.0434550750063,281.6043474351148,280.1001233529947,92.96738573579749,273.4919470112138
1.5507e+06,288.1511401799053,0.2493956877882608,0,0,286.0388723079211,284.4884107038434,283.0434701564974,281.6041787020438,280.1000321343618,92.76266781920079,273.5252816779338
1.55094e+06,288.1511413977624,0.249576326240928,0,0,286.0355104150908,284.4886521454546,283.043485386604,281.6040108643428,280.0999411586417,92.55788681245558,273.5586163446537
1.55118e+06,288.1511426156194,0.2497569646662126,0,0,286.0321485222604,284.4888935870659,283.0435006167106,281.6038430266418,280.0998501829216,92.3535118570048,273.5919510113738
1.55142e+06,288.1511438334765,0.2499376030641152,0,0,286.02878662943,284.4891350286772,283.0435158468171,281.6036751889408,280.0997592072016,92.14954236028971,273.6252856780937
1.5516e+06,288.1511445729039,0.250071536738841,0,0,286.0262958460996,284.4893129559065,283.0435271492075,281.6035508273175,280.0996917777184,92.02589891166912,273.65
1.5516e+06,288.1511445729039,0.250071536738841,0,0,286.0262958460996,284.4893129559065,283.0435271492075,281.6035508273175,280.0996917777184,92.02589891166912,273.650000030173
1.55166e+06,288.151145189107,0.2501183022460542,0,0,286.0254281846971,284.4893744376532,283.0435310974456,281.6035074895686,280.0996682691371,91.9229743510211,273.6620684827392
1.5519e+06,288.15114694005,0.2502995293923954,0,0,286.0220897929576,284.4896031625326,283.0435464411684,281.6033405199631,280.0995775305308,91.63107834644424,273.7087370161473
1.55214e+06,288.151148696558,0.2504813177473018,0,0,286.0187765492714,284.4898185042721,283.0435618505611,281.6031744729939,280.0994870469139,91.33909226896819,273.7554055495553
1.55238e+06,288.1511504596496,0.2506637611591724,0,0,286.0154926487821,284.4900183452859,283.0435772769398,281.6030095043584,280.0993968646311,91.04685365974186,273.8020740829633
