"time","air.T","climateController.heater_power","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_NIR_transmitted[2]","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","air.RH","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor5.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","weatherFromFile.weather.air_temp"
1.66951e+06,288.1515441952299,4.358868534379118,0,0,0,0,0.4126939007418398,289.9127612710965,290.6800257319049,290.8491749548547,291.004935738217,291.0563002876012,273.074811659133
1.66975e+06,288.1515424041422,4.373826601794173,0,0,0,0,0.4125207701433282,289.9106511473444,290.6788625429473,290.8484750554634,291.0042160773858,291.0556214813574,273.068144725789
1.66999e+06,288.1515406223506,4.388755628078228,0,0,0,0,0.4123474251624251,289.9085459983549,290.6776981670812,290.8477752734873,291.003495456342,291.0549425258789,273.061477792445
1.67023e+06,288.1515388485108,4.403666314137483,0,0,0,0,0.4121739028783424,289.9064449602669,290.6765328215381,290.8470755884086,291.0027740383958,291.0542634448032,273.054810859101
1.6704e+06,288.1515376172013,4.414044956748675,0,0,0,0,0.4120486185754794,289.9049311026089,290.6756913773626,290.8465707481754,291.0022530265735,291.0537733506139,273.05
1.6704e+06,288.1515376172013,4.414044956748675,0,0,0,0,0.4120486185754794,289.9049311026089,290.6756913773626,290.8465707481754,291.0022530265735,291.0537733506139,273.0499999907191
1.67047e+06,288.1515368845137,4.420231810040271,0,0,0,0,0.4120002561215524,289.9043473074349,290.6753666783055,290.8463759831099,291.0020519640113,291.0535842601471,273.046287851514
1.67071e+06,288.1515343166221,4.441980573426369,0,0,0,0,0.4118261178158258,289.9022553489032,290.6741991818793,290.8456765141138,291.001328763533,291.052904896032,273.0329539848261
1.67095e+06,288.1515317623895,4.463714850765976,0,0,0,0,0.4116514679740954,289.9001694747437,290.673030255145,290.8449771905116,291.0006043555534,291.0522253370544,273.0196201181381
1.67119e+06,288.151529235364,4.485317356481888,0,0,0,0,0.4114758155928846,289.8980954894634,290.6718585952453,290.8442781501151,290.9998775692443,291.0515453841742,273.00628625145
1.67143e+06,288.1515267083923,4.5070190147596,0,0,0,0,0.4113001611782344,289.8960215276431,290.6706869299524,290.8435791102776,290.9991507782422,291.0508654305166,272.992952384762
1.67167e+06,288.1515242192481,4.528493595287592,0,0,0,0,0.4111230903926901,289.8939642726978,290.669511583097,290.8428804656117,290.9984205981942,291.050184888819,272.979618518074
1.67191e+06,288.1515217450063,4.549936178705449,0,0,0,0,0.4109454615883734,289.8919135995015,290.6683347858734,290.8421819766255,290.9976890830162,291.0495041154605,272.966284651386
1.67215e+06,288.1515192707644,4.571475432395822,0,0,0,0,0.410767832729347,289.8898629263053,290.6671579886498,290.8414834876393,290.9969575678381,291.0488233421019,272.952950784698
1.67239e+06,288.1515167965226,4.593111745063156,0,0,0,0,0.4105902038156087,289.8878122531091,290.6659811914262,290.8407849986531,290.9962260526601,291.0481425687433,272.93961691801
1.67263e+06,288.1515143292509,4.61478414551118,0,0,0,0,0.41041242262685,289.8857633764381,290.664804006879,290.8400865520042,290.9954941704711,291.0474617302477,272.9262830513221
1.67287e+06,288.1515118996639,4.636220596009916,0,0,0,0,0.4102338183911817,289.8837242128401,290.6636247282326,290.8393883342556,290.9947603040048,291.0467805395822,272.912949184634
1.67311e+06,288.151509470077,4.657751760047601,0,0,0,0,0.4100552141014955,289.881685049242,290.6624454495862,290.838690116507,290.9940264375384,291.0460993489169,272.899615317946
1.67335e+06,288.1515070635464,4.679172333292475,0,0,0,0,0.4098759746065339,289.8796533804335,290.6612645820779,290.8379920748467,290.9932910321011,291.0454178805221,272.886281451258
1.67359e+06,288.1515046631222,4.700631850666675,0,0,0,0,0.4096965741821644,289.8776236100023,290.6600833139048,290.837294077752,290.9925552363331,291.0447363413819,272.87294758457
1.67383e+06,288.1515022786867,4.722041039774378,0,0,0,0,0.4095167721778896,289.875598577831,290.6589010521362,290.8365961917594,290.9918184644399,291.044054624223,272.859613717882
1.674e+06,288.1515007248123,4.736042692576498,0,0,0,0,0.4093869580362915,289.874141054518,290.6580481162371,290.8360930744391,290.9912867315704,291.0435630102433,272.85
1.674e+06,288.1515007248123,4.736042692576498,2.577418549173432e-12,3.571931116612956e-12,2.108796994778262e-12,2.922489095410599e-12,0.4093869580362915,289.874141054518,290.6580481162371,290.8360930744391,290.9912867315704,291.0435630102433,272.8499999953495
1.67407e+06,288.151500098989,4.741692999174058,1.04654357144871e-06,1.439021587818296e-06,8.562629220943988e-07,1.17738129912406e-06,0.4093366942643796,289.8735773939029,290.6577179918864,290.8358983955836,290.9910809006723,291.0433727616493,272.848139925597
1.67431e+06,288.1514985009146,4.75615044521126,5.057187779112214e-06,6.765208800962169e-06,4.137699092000901e-06,5.535170837150865e-06,0.4091563704606537,289.8715617800179,290.6565338005477,290.8352007276986,290.990342200364,291.0426906884018,272.841472992253
1.67455e+06,288.1514969157055,4.770532870058231,9.479900763130133e-06,1.235028557526401e-05,7.756282442561018e-06,1.010477910703419e-05,0.4089758585783739,289.8695520200861,290.6553484388012,290.8345031939304,290.989602304858,291.0420083910826,272.834806058909
1.67479e+06,288.151495344254,4.784831244323728,1.432041254469732e-05,1.818754927835557e-05,1.171670117293417e-05,1.488072213683637e-05,0.4087949897247513,289.8675533555115,290.65416091692,290.8338059129044,290.9888601293808,291.0413256564988,272.828139125565
1.67503e+06,288.1514937730151,4.799168372232892,1.958146770926619e-05,2.42693391194091e-05,1.602120085303597e-05,1.985673200678926e-05,0.4086141153221854,289.8655548623261,290.6529733616713,290.8331086357825,290.988117918685,291.0406429151606,272.821472192221
1.67527e+06,288.1514922205833,4.81337394719859,2.52627423739542e-05,3.058713482114846e-05,2.066951648778071e-05,2.502583758093966e-05,0.4084327431390846,289.8635717819368,290.6517829538922,290.8324117055586,290.9873725052643,291.0399595339703,272.814805258877
1.67551e+06,288.1514906762416,4.827545098940689,3.136082567829465e-05,3.713166286131591e-05,2.565885737315017e-05,3.038045143198573e-05,0.4082511568142955,289.8615953314123,290.6505913190877,290.8317149245541,290.9866257141811,291.0392758775454,272.808138325533
1.67575e+06,288.1514891318999,4.841755850051166,3.786926733137391e-05,4.389300791030969e-05,3.098394599839684e-05,3.591246101752611e-05,0.4080695704545989,289.8596188808878,290.6493996842832,290.8310181435496,290.985878923098,291.0385922211206,272.801471392189
1.67599e+06,288.1514875875582,4.85600629867532,4.477869005516922e-05,5.086072709694585e-05,3.663711004513844e-05,4.161332217022843e-05,0.4078879840599947,289.8576424303633,290.6482080494786,290.830321362545,290.9851321320148,291.0379085646957,272.794804458845
